City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Marathon,US,2020-10-31 15:48:17,44.9,-89.77,39.0,69,1,10.29
70,Cockburn Town,TC,2020-10-31 15:49:57,21.46,-71.14,82.76,80,91,17.65
71,Constitucion,CL,2020-10-31 15:49:57,-35.33,-72.42,66.81,57,0,3.91
72,Minsk,BY,2020-10-31 15:46:50,53.9,27.57,46.4,93,75,6.71
73,Ngama,TD,2020-10-31 15:49:57,11.78,17.17,94.91,23,0,2.84
74,Husavik,IS,2020-10-31 15:49:05,66.04,-17.34,42.8,70,0,12.75
75,Sabirabad,AZ,2020-10-31 15:49:58,40.01,48.48,59.0,87,0,4.7
76,Georgetown,MY,2020-10-31 15:47:12,5.41,100.34,82.4,83,40,3.36
77,Dawlatabad,AF,2020-10-31 15:49:58,36.41,64.91,47.28,50,0,4.5
78,Richards Bay,ZA,2020-10-31 15:49:58,-28.78,32.04,67.35,78,100,11.61
79,Vila Franca Do Campo,PT,2020-10-31 15:49:58,37.72,-25.43,69.8,94,75,17.22
80,Izhma,RU,2020-10-31 15:49:58,65.01,53.91,34.27,89,99,11.32
81,Khartoum,SD,2020-10-31 15:49:13,15.55,32.53,96.8,15,0,11.41
82,Port-Gentil,GA,2020-10-31 15:49:58,-0.72,8.78,86.0,70,40,14.99
83,Pinega,RU,2020-10-31 15:49:58,64.7,43.39,30.65,96,0,5.03
84,Victoria,HK,2020-10-31 15:49:58,22.29,114.16,73.99,77,1,1.99
85,Peno,RU,2020-10-31 15:49:59,56.93,32.74,45.39,87,100,4.23
86,Saint Leonard,CA,2020-10-31 15:49:59,47.17,-67.92,32.0,68,0,4.0
87,Xacmaz,AZ,2020-10-31 15:49:59,41.46,48.81,62.31,82,100,3.85
88,Najran,SA,2020-10-31 15:49:59,17.49,44.13,77.0,23,0,6.93
89,Rojhan,PK,2020-10-31 15:49:59,28.69,69.95,71.28,20,0,2.46
90,Lebu,CL,2020-10-31 15:50:00,-37.62,-73.65,61.72,63,12,9.78
91,Vestmannaeyjar,IS,2020-10-31 15:50:00,63.44,-20.27,44.6,75,20,12.75
92,Sayyan,YE,2020-10-31 15:50:00,15.17,44.32,58.21,33,12,10.18
93,Bengkulu,ID,2020-10-31 15:50:00,-3.8,102.27,77.4,85,100,3.24
94,Iberia,US,2020-10-31 15:50:00,29.95,-91.75,62.01,93,1,3.36
95,Anamur,TR,2020-10-31 15:50:00,36.08,32.84,71.6,78,20,4.7
96,San Cristobal,VE,2020-10-31 15:47:25,7.77,-72.22,82.4,74,75,4.7
97,Semirom,IR,2020-10-31 15:50:00,31.42,51.57,38.48,69,0,1.23
98,Marysville,US,2020-10-31 15:45:04,48.05,-122.18,43.0,80,1,1.5
99,Narok,KE,2020-10-31 15:50:00,-1.08,35.86,67.15,54,68,10.63
100,Punta Arenas,CL,2020-10-31 15:49:29,-53.15,-70.92,51.8,71,0,9.17
101,Ampanihy,MG,2020-10-31 15:50:00,-24.7,44.75,80.28,42,0,12.71
102,Ostrovnoy,RU,2020-10-31 15:50:00,68.05,39.51,26.89,95,13,12.21
103,Santiago Del Estero,AR,2020-10-31 15:50:00,-27.8,-64.26,80.01,23,0,5.7
104,Rio Tercero,AR,2020-10-31 15:50:01,-32.17,-64.11,76.75,25,0,10.92
105,Porbandar,IN,2020-10-31 15:50:01,21.64,69.61,83.35,38,0,8.23
106,Bangolo,CI,2020-10-31 15:50:01,7.01,-7.47,89.01,52,39,2.77
107,Geraldton,AU,2020-10-31 15:50:01,-28.77,114.6,68.0,72,100,11.41
108,Cayenne,GF,2020-10-31 15:50:01,4.93,-52.33,89.6,62,100,8.05
109,Nortelandia,BR,2020-10-31 15:50:01,-14.45,-56.8,88.48,46,83,6.29
110,Nanortalik,GL,2020-10-31 15:50:01,60.14,-45.24,29.55,90,11,15.52
111,Baijiantan,CN,2020-10-31 15:50:01,45.63,85.18,38.93,67,0,3.31
112,Namibe,AO,2020-10-31 15:50:01,-15.2,12.15,74.12,77,17,12.5
113,Arraial Do Cabo,BR,2020-10-31 15:50:02,-22.97,-42.03,69.8,94,90,8.05
114,Taoudenni,ML,2020-10-31 15:50:02,22.68,-3.98,92.5,11,100,8.23
115,Warri,NG,2020-10-31 15:50:02,5.52,5.75,81.82,79,93,8.59
116,Upernavik,GL,2020-10-31 15:50:02,72.79,-56.15,16.48,95,64,10.67
117,Derzhavinsk,KZ,2020-10-31 15:50:02,51.1,66.32,38.57,69,7,5.59
118,Concarneau,FR,2020-10-31 15:50:02,47.88,-3.92,57.2,71,75,8.05
119,Sarmanovo,RU,2020-10-31 15:50:02,55.26,52.59,41.0,75,90,6.71
120,Busselton,AU,2020-10-31 15:50:02,-33.65,115.33,63.0,66,100,13.58
121,Delaware,US,2020-10-31 15:45:55,39.0,-75.5,45.0,56,1,8.05
122,Abalak,RU,2020-10-31 15:50:03,58.13,68.59,34.74,89,100,8.99
123,Severodvinsk,RU,2020-10-31 15:50:03,64.56,39.83,30.2,92,20,2.24
124,Dunda,TZ,2020-10-31 15:50:03,-8.12,34.25,80.4,30,53,8.32
125,Ribeira Grande,PT,2020-10-31 15:50:03,38.52,-28.7,69.8,94,75,18.34
126,Mao,ES,2020-10-31 15:50:03,39.89,4.27,68.0,68,0,6.93
127,Bilma,NE,2020-10-31 15:50:03,18.69,12.92,82.65,16,0,5.01
128,Sena Madureira,BR,2020-10-31 15:50:03,-9.07,-68.66,74.12,84,100,3.47
129,Antofagasta,CL,2020-10-31 15:46:26,-23.65,-70.4,68.0,67,0,11.41
130,Cambridge,CA,2020-10-31 15:50:04,43.36,-80.31,42.01,64,1,4.7
131,Muros,ES,2020-10-31 15:50:04,42.78,-9.06,63.0,92,100,17.0
132,Tessalit,ML,2020-10-31 15:50:04,20.2,1.01,93.2,11,8,11.07
133,Amalapuram,IN,2020-10-31 15:50:04,16.58,82.02,82.4,65,0,3.36
134,Mwense,ZM,2020-10-31 15:50:04,-10.38,28.7,84.24,24,54,4.0
135,Hvolsvollur,IS,2020-10-31 15:50:04,63.75,-20.22,44.6,75,20,12.75
136,Klaksvik,FO,2020-10-31 15:50:04,62.23,-6.59,50.0,87,100,28.86
137,Clyde River,CA,2020-10-31 15:50:04,70.47,-68.59,15.8,92,90,12.75
138,Atar,MR,2020-10-31 15:50:04,20.52,-13.05,100.4,18,0,9.17
139,Ilulissat,GL,2020-10-31 15:50:04,69.22,-51.1,17.6,67,75,6.93
140,Miraflores,MX,2020-10-31 15:50:04,19.22,-98.81,60.8,54,5,4.7
141,Santa Cruz,BO,2020-10-31 15:50:04,-17.8,-63.17,84.2,54,40,24.16
142,Yarkovo,RU,2020-10-31 15:50:05,57.4,67.08,34.72,89,98,8.59
143,Narsaq,GL,2020-10-31 15:50:05,60.92,-46.05,28.4,68,40,1.88
144,Cunha,BR,2020-10-31 15:50:05,-23.07,-44.96,71.6,73,75,5.82
145,Huarmey,PE,2020-10-31 15:50:05,-10.07,-78.15,68.58,68,99,8.28
146,Marion,US,2020-10-31 15:49:59,39.77,-86.16,48.0,70,20,9.17
147,Palora,EC,2020-10-31 15:50:05,-1.7,-77.93,78.8,65,75,5.82
148,Comodoro Rivadavia,AR,2020-10-31 15:50:05,-45.87,-67.5,62.6,63,0,5.82
149,Bredasdorp,ZA,2020-10-31 15:50:05,-34.53,20.04,66.2,48,0,13.87
150,Dwarka,IN,2020-10-31 15:50:05,22.24,68.97,82.74,54,0,12.53
